"Temp(Celsius)","Anio","Mes"," Pais"," ISO3"
22.3812,1991," Jan"," Guatemala"," GTM"
21.9202,1991," Feb"," Guatemala"," GTM"
23.7404,1991," Mar"," Guatemala"," GTM"
25.2664,1991," Apr"," Guatemala"," GTM"
25.4334,1991," May"," Guatemala"," GTM"
25.3804,1991," Jun"," Guatemala"," GTM"
24.6625,1991," Jul"," Guatemala"," GTM"
24.4066,1991," Aug"," Guatemala"," GTM"
23.8344,1991," Sep"," Guatemala"," GTM"
23.538,1991," Oct"," Guatemala"," GTM"
21.6561,1991," Nov"," Guatemala"," GTM"
21.6771,1991," Dec"," Guatemala"," GTM"
21.3004,1992," Jan"," Guatemala"," GTM"
21.7599,1992," Feb"," Guatemala"," GTM"
23.864,1992," Mar"," Guatemala"," GTM"
24.491,1992," Apr"," Guatemala"," GTM"
24.546,1992," May"," Guatemala"," GTM"
25.3725,1992," Jun"," Guatemala"," GTM"
24.4894,1992," Jul"," Guatemala"," GTM"
24.4315,1992," Aug"," Guatemala"," GTM"
23.6671,1992," Sep"," Guatemala"," GTM"
23.5324,1992," Oct"," Guatemala"," GTM"
22.8659,1992," Nov"," Guatemala"," GTM"
22.3468,1992," Dec"," Guatemala"," GTM"
22.0776,1993," Jan"," Guatemala"," GTM"
21.947,1993," Feb"," Guatemala"," GTM"
22.817,1993," Mar"," Guatemala"," GTM"
24.5042,1993," Apr"," Guatemala"," GTM"
24.5714,1993," May"," Guatemala"," GTM"
25.0861,1993," Jun"," Guatemala"," GTM"
24.5156,1993," Jul"," Guatemala"," GTM"
24.0836,1993," Aug"," Guatemala"," GTM"
23.7884,1993," Sep"," Guatemala"," GTM"
24.1421,1993," Oct"," Guatemala"," GTM"
22.5371,1993," Nov"," Guatemala"," GTM"
21.4906,1993," Dec"," Guatemala"," GTM"
21.6898,1994," Jan"," Guatemala"," GTM"
22.5182,1994," Feb"," Guatemala"," GTM"
23.6017,1994," Mar"," Guatemala"," GTM"
25.2627,1994," Apr"," Guatemala"," GTM"
25.1998,1994," May"," Guatemala"," GTM"
25.1393,1994," Jun"," Guatemala"," GTM"
24.4976,1994," Jul"," Guatemala"," GTM"
24.4654,1994," Aug"," Guatemala"," GTM"
24.1964,1994," Sep"," Guatemala"," GTM"
23.8988,1994," Oct"," Guatemala"," GTM"
22.958,1994," Nov"," Guatemala"," GTM"
21.8406,1994," Dec"," Guatemala"," GTM"
21.7339,1995," Jan"," Guatemala"," GTM"
21.9174,1995," Feb"," Guatemala"," GTM"
23.3118,1995," Mar"," Guatemala"," GTM"
24.8198,1995," Apr"," Guatemala"," GTM"
25.5956,1995," May"," Guatemala"," GTM"
25.2148,1995," Jun"," Guatemala"," GTM"
24.168,1995," Jul"," Guatemala"," GTM"
24.3439,1995," Aug"," Guatemala"," GTM"
24.0348,1995," Sep"," Guatemala"," GTM"
23.5345,1995," Oct"," Guatemala"," GTM"
22.6392,1995," Nov"," Guatemala"," GTM"
22.2871,1995," Dec"," Guatemala"," GTM"
20.4628,1996," Jan"," Guatemala"," GTM"
21.5532,1996," Feb"," Guatemala"," GTM"
22.3859,1996," Mar"," Guatemala"," GTM"
24.4085,1996," Apr"," Guatemala"," GTM"
25.1031,1996," May"," Guatemala"," GTM"
24.8621,1996," Jun"," Guatemala"," GTM"
24.4795,1996," Jul"," Guatemala"," GTM"
24.0568,1996," Aug"," Guatemala"," GTM"
24.6568,1996," Sep"," Guatemala"," GTM"
23.8062,1996," Oct"," Guatemala"," GTM"
21.9182,1996," Nov"," Guatemala"," GTM"
21.6385,1996," Dec"," Guatemala"," GTM"
21.6835,1997," Jan"," Guatemala"," GTM"
22.3605,1997," Feb"," Guatemala"," GTM"
24.1967,1997," Mar"," Guatemala"," GTM"
24.678,1997," Apr"," Guatemala"," GTM"
25.4429,1997," May"," Guatemala"," GTM"
25.5541,1997," Jun"," Guatemala"," GTM"
24.6278,1997," Jul"," Guatemala"," GTM"
25.189,1997," Aug"," Guatemala"," GTM"
24.4349,1997," Sep"," Guatemala"," GTM"
